ID	Capability	DonorSources	Tree	Classification	EAValidation	OpenW3DEquivalent	TargetModule	TTDependency	RendererDependency	PhysicsDependency	AIDependency	NetworkDependency	SaveLoadDependency	ClientServer	MigrationClass	RejectedSubparts	Tests
ZH-01	Asset exclusion / residency	W3DAssetManager.cpp/.h; W3DAssetManagerExposed.cpp; w3dexclusionlist.cpp/.h; Tools/assetcull	Core+GeneralsMD	PORT_RESOURCE_MANAGEMENT		ww3d2/assetmgr caches but never excludes	Code/ww3d2	none	WW3D asset lifetime	none	none	none	prototype names must survive a load	both; server needs the residency set without the textures	ADAPTED_BACKPORT	SAGE prototype/Thing binding: OpenW3D has definitions, not Things	residency set computed for a level is stable across two loads; an excluded prototype is absent, not null-dereferenced
ZH-02	Sectional bridge renderer	W3DBridgeBuffer.cpp/.h; GameLogic/Module/BridgeBehavior; TerrainRoads	Core+GeneralsMD	PORT_NEW_ENGINE_CAPABILITY		none; Renegade bridges are authored geometry	Code/ww3d2 + Code/wwphys	none	vertex buffer batching	collision for the deck	pathfinding must cross a built bridge	bridge damage state is replicated	bridge state persists	both	DIRECT_ADAPT	faction-specific bridge unit behaviour	a bridge builds, takes damage, and its collision follows its render state
ZH-03	Runtime road renderer	W3DRoadBuffer.cpp/.h; W3DBibBuffer.cpp/.h	GeneralsMD	PORT_NEW_ENGINE_CAPABILITY		none	Code/ww3d2	none	terrain surface blending	none	roads bias pathfinding cost	none	road layout is level data	client only	DIRECT_ADAPT	none	a road mesh joins at corners and ends without gaps at two zoom levels
ZH-04	Heightmap / terrain framework	BaseHeightMap.cpp/.h; HeightMap.cpp/.h; FlatHeightMap.cpp/.h; WorldHeightMap.cpp/.h; W3DTerrainVisual	Core+GeneralsMD	PORT_NEW_ENGINE_CAPABILITY	consult for original Cast_Ray semantics if the community fixes conflict	none by design: Renegade worlds are authored W3D geometry with interiors	Code/ww3d2 + Code/wwphys	none	the whole terrain draw path	terrain must present a collidable surface to WWPhys	pathfinding samples height	terrain is static level data	heightmap is level data, not save state	both; the server needs height without the vertex buffers	ADAPTED_BACKPORT	replacing authored W3D world geometry: the roadmap requires preserving Renegade interiors, so the heightmap coexists with them	a ray cast against terrain agrees with a ray cast against the authored mesh where they overlap
ZH-05	Terrain texture system	TerrainTex.cpp/.h; TileData.cpp/.h; TerrainTypes	Core	PORT_NEW_ENGINE_CAPABILITY		none	Code/ww3d2	none	texture stages and blend tiles	none	none	none	tile assignment is level data	client only	DIRECT_ADAPT	none	a tile blend renders identically after a texture quality change
ZH-06	Tree / foliage buffer	W3DTreeBuffer.cpp/.h; W3DTreeDraw; W3DPropBuffer.cpp/.h; W3DPropDraw	Core	PORT_RENDER_FEATURE		none; Renegade vegetation is ordinary render objects	Code/ww3d2	none	batched vertex buffers, sway animation	none	none	none	prop placement is level data	client only	DIRECT_ADAPT	none	1000 trees draw in one buffer and cull correctly at the frustum edge
ZH-07	Reflective river / water	W3DWater.cpp/.h; W3DWaterTracks.cpp/.h; WaterTracksObj	Core+GeneralsMD	PORT_RENDER_FEATURE		none; Renegade water is a textured surface	Code/ww3d2	none	render-to-texture reflection pass	water volumes already exist in WWPhys	none	none	water plane is level data	client only	ADAPTED_BACKPORT	none	the reflection pass costs nothing when no water is visible
ZH-08	Projected / cached shadows	W3DShadow; W3DProjectedShadow; W3DVolumetricShadow; W3DBufferManager	GeneralsMD	PORT_RENDER_FEATURE		wwphys/dynamicshadowmanager, dyntexproject, projectormanager	Code/wwphys	none	shadow buffer management	shadow casters are physics objects	none	none	none	client only	ADAPTED_BACKPORT	none	a cached shadow is reused across frames until its caster moves
ZH-09	Terrain tracks / surface ribbons	W3DTerrainTracks.cpp/.h; W3DScorch.cpp/.h	Core	PORT_RENDER_FEATURE		none	Code/ww3d2	none	ribbon geometry, fading	tracks follow physics contacts	none	none	tracks are transient, not saved	client only	DIRECT_ADAPT	none	tracks fade on a timer that does not depend on frame rate
ZH-10	Particle batching	W3DParticleSys.cpp/.h; ParticleSysManager; ParticleSysTemplate	Core	PORT_PERFORMANCE		ww3d2/part_buf, part_emt, part_ldr are the same emitters	Code/ww3d2	none	batched particle draw	none	none	none	particle systems are transient	client only	ALGORITHM_ONLY	SAGE particle INI binding	the same visual result with one draw call per batch instead of per emitter
