Directory	Classification	Reason
.	NOT_RELEVANT_TO_OPENW3D	Root list file plus an STLport shim for VC6 builds. OpenW3D builds with the 2022 toolchain and has no VC6 configuration.
Dependencies/Utility	NOT_RELEVANT_TO_OPENW3D	Donor build glue (CppMacros.h, force-included). Build infrastructure, not engine code.
resources	NOT_RELEVANT_TO_OPENW3D	Donor Win32 resource scripts and icons for its own executables.
Core	NOT_RELEVANT_TO_OPENW3D	Interface targets and include paths only; no source of its own. Its children carry the code.
Core/Libraries/Source/WWVegas	NOT_RELEVANT_TO_OPENW3D	Aggregation target only; no source of its own.
Core/Libraries/Source/WWVegas/WW3D2	PORT_RENDER_FEATURE	Same Westwood W3D renderer OpenW3D descends from: 217 of 232 donor file names exist in Code/ww3d2. Ports are file-to-file adaptations. The 15 donor-only names are the new capabilities; see ZeroHourSharedLineage.tsv.
Core/Libraries/Source/WWVegas/WWAudio	OPENW3D_ALREADY_EQUIVALENT	Code/WWAudio is the same library. 33 of 43 names shared; the donor-only ones are Miles-specific glue OpenW3D already replaced.
Core/Libraries/Source/WWVegas/WWDebug	OPENW3D_ALREADY_EQUIVALENT	Code/wwdebug, 7 of 7 file names shared.
Core/Libraries/Source/WWVegas/WWDownload	RETAIL_INFRASTRUCTURE_REJECT	HTTP patch downloader for the retail auto-update service. That service is gone and OpenW3D does not ship a patcher.
Core/Libraries/Source/WWVegas/WWLib	PORT_ENGINE_ENHANCEMENT	Code/wwlib is the same library, 131 of 164 names shared. The 33 donor-only names are container, string and RNG additions worth reading individually rather than adopting wholesale.
Core/Libraries/Source/WWVegas/WWMath	OPENW3D_ALREADY_EQUIVALENT	Code/WWMath, 79 of 79 file names shared. Nothing to port; a source of fixes only.
Core/Libraries/Source/WWVegas/WWSaveLoad	OPENW3D_ALREADY_EQUIVALENT	Code/wwsaveload, 33 of 33 file names shared. The persistence contract is common ancestry, which is why donor save/load code adapts cleanly.
Core/Libraries/Source/WWVegas/WWStub	NOT_RELEVANT_TO_OPENW3D	Link stubs for tools that must not pull the whole engine. A donor build artifact.
Core/Libraries/Source/profile	PORT_DEBUG_PROFILING	Tracy integration and the legacy profiler. OpenW3D has no frame profiler; this is a real gap.
Core/Libraries/Source/debug	PORT_DEBUG_PROFILING	The donor's structured debug/assert/log library, with an out-of-process debug window client.
Core/Libraries/Source/EABrowserDispatch	RETAIL_INFRASTRUCTURE_REJECT	Embedded Internet Explorer COM dispatch for the retail in-game browser.
Core/Libraries/Source/EABrowserEngine	RETAIL_INFRASTRUCTURE_REJECT	The other half of the same embedded browser.
Core/Libraries/Source/Compression	PORT_RESOURCE_MANAGEMENT	RefPack/LZH/zlib codecs behind one interface, used for archives, maps and save games. OpenW3D has no equivalent front end.
Core/GameEngine	PORT_NEW_ENGINE_CAPABILITY	The shared RTS engine: terrain, partition, radar, particles, AI interfaces. Ported per system, not wholesale -- Thing/Drawable ownership and the SAGE game loop are rejected subparts. File granularity is in ZeroHourCapabilitySources.tsv.
Core/GameEngineDevice	PORT_RENDER_FEATURE	The W3D device layer, where most of the 25 mandatory systems live at this SHA: BaseHeightMap, TerrainTex, W3DShaderManager, W3DSmudge, W3DSnow, W3DTerrainBackground, the draw modules. Rejected subparts: Bink and Miles device bindings, Win32 DirectInput devices.
Core/Tools/DebugWindow	PORT_DEBUG_PROFILING	Out-of-process debug output window. Pairs with Libraries/Source/debug.
Core/Tools/ParticleEditor	PORT_TOOLING	Live particle system editor attached to the running game. OpenW3D edits particles only through LevelEdit definitions.
Core/Tools/assetcull	PORT_TOOLING	Computes the asset residency sets the exclusion system consumes. Belongs with ZH-01.
Core/Tools/Babylon	NOT_RELEVANT_TO_OPENW3D	Localization string tool for the donor's own string format. OpenW3D has Code/Strings Editor and wwtranslatedb.
